<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.02	08:00:00	27522.26	27578.28	27440.75	27565.77	2783	0	900
2022.02.02	12:00:00	27565.77	27565.77	27480.71	27480.71	2451	0	1700
2022.02.02	16:00:00	27480.71	27500.71	27325.63	27435.65	6987	0	1700
2022.02.02	20:00:00	27438.15	27495.64	27345.59	27358.10	4743	0	1700
2022.02.03	00:00:00	27248.35	27312.16	27183.50	27214.56	3455	0	900
2022.02.03	04:00:00	27212.06	27274.54	27158.63	27226.24	5198	0	900
2022.02.03	08:00:00	27228.73	27277.29	27157.29	27167.29	3264	0	900
2022.02.03	12:00:00	27167.29	27267.29	27127.29	27127.29	4107	0	1700
2022.02.03	16:00:00	27127.29	27272.29	27097.29	27122.29	9018	0	1700
2022.02.03	20:00:00	27119.79	27167.29	26942.29	27079.79	6139	0	1700
2022.02.04	00:00:00	27305.67	27308.24	27068.95	27175.34	4196	0	900
2022.02.04	04:00:00	27175.36	27451.26	27172.94	27421.68	6312	0	900
2022.02.04	08:00:00	27424.18	27439.09	27312.61	27317.61	4221	0	900
2022.02.04	12:00:00	27315.11	27322.61	27147.50	27177.51	6540	0	1700
2022.02.04	16:00:00	27177.51	27365.06	27142.49	27312.51	10465	0	1700
2022.02.04	20:00:00	27317.51	27457.53	27222.43	27244.94	6028	0	1700
2022.02.07	00:00:00	27173.67	27246.90	27098.76	27171.21	5039	0	900
2022.02.07	04:00:00	27173.70	27255.25	27131.10	27230.87	6691	0	900
2022.02.07	08:00:00	27235.87	27300.89	27131.96	27171.97	5088	0	900
2022.02.07	12:00:00	27171.97	27261.96	27141.95	27246.95	4090	0	1700
2022.02.07	16:00:00	27246.95	27316.95	27191.92	27231.92	7685	0	1700
2022.02.07	20:00:00	27231.92	27356.93	27191.90	27236.90	4387	0	1700
2022.02.08	00:00:00	27383.88	27464.89	27338.56	27360.86	3585	0	900
2022.02.08	04:00:00	27363.35	27390.50	27275.67	27295.67	5638	0	900
2022.02.08	08:00:00	27290.66	27346.76	27236.75	27291.75	3684	0	900
2022.02.08	12:00:00	27286.74	27291.74	27204.26	27236.76	3747	0	1700
2022.02.08	16:00:00	27236.76	27404.27	27196.75	27391.76	6138	0	1700
2022.02.08	20:00:00	27391.76	27431.75	27316.74	27396.74	3755	0	1700
2022.02.09	00:00:00	27433.23	27526.42	27400.81	27497.32	2974	0	900
2022.02.09	04:00:00	27499.82	27622.26	27474.55	27589.12	4533	0	900
2022.02.09	08:00:00	27584.12	27610.05	27532.55	27590.03	2688	0	900
2022.02.09	12:00:00	27590.03	27660.01	27590.03	27645.00	1896	0	1700
2022.02.09	16:00:00	27647.50	27735.00	27624.98	27714.97	4820	0	1700
2022.02.09	20:00:00	27714.97	27859.97	27684.96	27859.97	2589	0	1700
2022.02.10	00:00:00	27833.00	27875.50	27585.50	27665.50	3050	0	900
2022.02.10	04:00:00	27668.00	27700.50	27568.00	27700.50	3663	0	900
2022.02.10	08:00:00	27703.00	27764.00	27664.00	27704.00	3214	0	900
2022.02.10	12:00:00	27704.00	27734.00	27539.00	27569.00	3521	0	1700
2022.02.10	16:00:00	27566.50	27744.00	27499.00	27594.00	8877	0	1700
2022.02.10	20:00:00	27589.00	27629.00	27349.00	27364.00	7018	0	1700
2022.02.11	00:00:00	27235.50	27303.00	27220.50	27265.50	1488	0	900
2022.02.11	04:00:00	27268.00	27278.00	27173.00	27203.00	2763	0	900
2022.02.11	08:00:00	27198.00	27339.00	27181.50	27219.00	3971	0	900
2022.02.11	12:00:00	27219.00	27399.00	27214.00	27381.50	2142	0	1700
2022.02.11	16:00:00	27379.00	27459.00	27281.50	27299.00	8372	0	1700
2022.02.11	20:00:00	27301.50	27339.00	26854.00	26991.50	11298	0	1700
2022.02.14	00:00:00	27095.50	27153.00	26950.50	26978.00	4281	0	900
2022.02.14	04:00:00	26983.00	27146.05	26938.00	27064.16	6315	0	900
2022.02.14	08:00:00	27064.14	27135.12	26845.01	26885.01	6920	0	900
2022.02.14	12:00:00	26882.51	27165.06	26845.00	27065.01	7559	0	1700
2022.02.14	16:00:00	27067.51	27139.99	26949.96	27104.97	10273	0	1700
