<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.28	20:00:00	4051.86	4108.48	4047.14	4102.76	11970	0	40
2022.07.29	00:00:00	4102.09	4102.09	4088.64	4090.15	3136	0	60
2022.07.29	04:00:00	4089.90	4100.67	4089.15	4095.01	3945	0	60
2022.07.29	08:00:00	4094.76	4106.04	4091.29	4096.42	8030	0	60
2022.07.29	12:00:00	4096.55	4104.93	4083.10	4090.32	6787	0	60
2022.07.29	16:00:00	4090.57	4120.63	4078.10	4115.56	15172	0	40
2022.07.29	20:00:00	4115.57	4140.12	4111.01	4129.97	6789	0	40
2022.08.01	00:00:00	4135.30	4135.80	4111.88	4115.28	4134	0	60
2022.08.01	04:00:00	4115.53	4119.04	4110.78	4114.29	3215	0	60
2022.08.01	08:00:00	4114.54	4125.33	4109.08	4115.83	5369	0	60
2022.08.01	12:00:00	4116.08	4131.08	4104.08	4104.58	5124	0	60
2022.08.01	16:00:00	4104.45	4144.43	4094.43	4128.93	15831	0	40
2022.08.01	20:00:00	4128.93	4129.29	4101.66	4120.37	12108	0	40
2022.08.02	00:00:00	4117.66	4120.17	4103.81	4104.05	2916	0	60
2022.08.02	04:00:00	4103.80	4106.59	4094.61	4101.60	4821	0	60
2022.08.02	08:00:00	4101.36	4104.82	4086.39	4091.90	8335	0	60
2022.08.02	12:00:00	4092.02	4096.86	4081.97	4093.71	6761	0	60
2022.08.02	16:00:00	4093.96	4140.69	4078.43	4137.10	17873	0	40
2022.08.02	20:00:00	4136.85	4137.35	4087.41	4092.75	13352	0	40
2022.08.03	00:00:00	4095.28	4100.52	4082.70	4087.94	3722	0	60
2022.08.03	04:00:00	4087.82	4102.92	4087.32	4098.67	5186	0	60
2022.08.03	08:00:00	4098.92	4105.80	4090.70	4100.22	7633	0	60
2022.08.03	12:00:00	4100.10	4120.31	4099.11	4116.59	6085	0	60
2022.08.03	16:00:00	4116.84	4157.01	4110.74	4154.18	14689	0	40
2022.08.03	20:00:00	4154.31	4167.68	4148.20	4149.96	7762	0	40
2022.08.04	00:00:00	4147.92	4155.13	4145.61	4154.88	2451	0	60
2022.08.04	04:00:00	4154.63	4156.92	4146.70	4149.72	3654	0	60
2022.08.04	08:00:00	4149.60	4156.62	4145.36	4149.58	6924	0	60
2022.08.04	12:00:00	4149.70	4170.56	4147.71	4162.31	8090	0	60
2022.08.04	16:00:00	4162.31	4162.31	4134.83	4142.26	17253	0	40
2022.08.04	20:00:00	4142.51	4160.46	4141.75	4150.50	8497	0	40
2022.08.05	00:00:00	4150.03	4156.05	4148.28	4154.82	2390	0	60
2022.08.05	04:00:00	4154.69	4164.00	4154.54	4161.93	3051	0	60
2022.08.05	08:00:00	4161.68	4162.06	4148.29	4150.80	4547	0	60
2022.08.05	12:00:00	4150.80	4159.72	4101.76	4106.70	7606	0	60
2022.08.05	16:00:00	4106.45	4151.75	4103.12	4134.84	17827	0	40
2022.08.05	20:00:00	4134.59	4147.04	4124.28	4139.67	9656	0	40
2022.08.08	00:00:00	4148.19	4149.19	4129.50	4135.32	3508	0	60
2022.08.08	04:00:00	4135.33	4142.80	4130.86	4141.93	3542	0	60
2022.08.08	08:00:00	4142.06	4162.28	4141.69	4155.28	5864	0	60
2022.08.08	12:00:00	4155.28	4175.94	4152.00	4175.94	4507	0	60
2022.08.08	16:00:00	4175.94	4186.78	4133.77	4143.20	15302	0	40
2022.08.08	20:00:00	4143.07	4152.00	4128.42	4149.11	10800	0	40
2022.08.09	00:00:00	4146.79	4153.41	4142.94	4145.45	2118	0	60
2022.08.09	04:00:00	4145.70	4152.26	4138.23	4149.78	3339	0	60
2022.08.09	08:00:00	4149.66	4151.05	4138.86	4146.52	5837	0	60
2022.08.09	12:00:00	4146.64	4148.76	4122.04	4130.21	6526	0	60
2022.08.09	16:00:00	4130.08	4136.90	4113.23	4118.34	14177	0	40
