<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.19	08:00:00	6042.65	6078.44	6026.30	6051.96	9565	0	80
2022.07.19	12:00:00	6051.71	6123.47	6050.66	6121.45	9454	0	80
2022.07.19	16:00:00	6121.70	6214.12	6119.22	6196.22	12478	0	80
2022.07.19	20:00:00	6195.97	6224.47	6186.21	6218.71	2893	0	80
2022.07.20	08:00:00	6216.08	6247.67	6199.49	6211.78	10067	0	80
2022.07.20	12:00:00	6210.78	6227.04	6149.72	6175.70	13954	0	80
2022.07.20	16:00:00	6175.45	6196.82	6146.29	6160.80	13774	0	80
2022.07.20	20:00:00	6160.55	6162.30	6121.02	6147.28	6020	0	80
2022.07.21	08:00:00	6186.50	6203.26	6141.52	6175.09	11850	0	80
2022.07.21	12:00:00	6175.59	6235.71	6155.27	6215.73	13877	0	80
2022.07.21	16:00:00	6215.23	6218.48	6150.51	6205.10	18108	0	80
2022.07.21	20:00:00	6205.10	6216.35	6175.59	6207.09	4239	0	80
2022.07.22	08:00:00	6167.03	6220.45	6163.53	6207.83	9904	0	80
2022.07.22	12:00:00	6208.33	6237.92	6205.22	6228.56	9473	0	80
2022.07.22	16:00:00	6228.31	6248.39	6196.48	6197.49	14950	0	80
2022.07.22	20:00:00	6197.24	6197.24	6163.47	6181.22	4584	0	80
2022.07.25	08:00:00	6178.72	6223.10	6175.03	6216.82	7308	0	80
2022.07.25	12:00:00	6217.07	6259.94	6215.58	6244.10	8210	0	80
2022.07.25	16:00:00	6244.10	6252.83	6208.43	6248.07	13395	0	80
2022.07.25	20:00:00	6247.82	6252.32	6218.80	6244.31	3091	0	80
2022.07.26	08:00:00	6227.77	6240.84	6206.24	6232.39	6976	0	80
2022.07.26	12:00:00	6232.65	6244.40	6195.40	6220.42	9533	0	80
2022.07.26	16:00:00	6220.17	6224.71	6172.93	6190.18	13627	0	80
2022.07.26	20:00:00	6189.93	6198.93	6175.68	6175.92	3568	0	80
2022.07.27	08:00:00	6203.66	6242.93	6197.91	6236.93	7970	0	80
2022.07.27	12:00:00	6236.93	6250.00	6222.63	6247.11	7717	0	80
2022.07.27	16:00:00	6246.61	6268.47	6226.47	6245.40	10497	0	80
2022.07.27	20:00:00	6245.15	6303.91	6234.15	6293.55	6754	0	80
2022.07.28	08:00:00	6302.88	6318.46	6244.08	6253.29	9753	0	80
2022.07.28	12:00:00	6253.54	6286.10	6235.75	6274.02	9812	0	80
2022.07.28	16:00:00	6274.27	6365.05	6273.51	6359.80	13785	0	80
2022.07.28	20:00:00	6360.55	6386.05	6355.30	6374.29	2856	0	80
2022.07.29	08:00:00	6386.53	6454.34	6380.43	6425.21	9124	0	80
2022.07.29	12:00:00	6425.46	6451.24	6411.43	6449.01	9669	0	80
2022.07.29	16:00:00	6449.26	6473.41	6434.36	6462.99	13388	0	80
2022.07.29	20:00:00	6462.74	6492.74	6456.74	6489.49	3017	0	80
2022.08.01	08:00:00	6454.63	6483.58	6431.65	6470.25	5705	0	80
2022.08.01	12:00:00	6470.50	6481.29	6447.61	6450.35	6581	0	80
