<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.12.03	2068.90	2078.10	2064.00	2073.20	10564	0	0
2014.12.04	2074.40	2079.40	2062.00	2072.60	15411	0	0
2014.12.05	2072.60	2079.60	2069.40	2075.30	3666	0	40
2014.12.08	2076.80	2079.40	2054.60	2061.30	13359	0	0
2014.12.09	2062.10	2064.20	2033.80	2058.60	21129	0	0
2014.12.10	2059.40	2061.90	2023.70	2026.70	23552	0	0
2014.12.11	2026.70	2056.30	2023.50	2027.00	9408	0	40
2014.12.12	2027.00	2031.90	2002.00	2003.20	13936	0	40
2014.12.15	2000.30	2020.10	1981.70	1989.20	48457	0	0
2014.12.16	1991.60	2019.30	1968.60	1973.80	55268	0	0
2014.12.17	1974.20	2018.50	1972.80	2013.50	39227	0	0
2014.12.18	2016.10	2069.80	2010.50	2067.00	26794	0	0
2014.12.19	2067.00	2079.80	2062.00	2072.00	10909	0	40
2014.12.22	2072.10	2083.10	2068.80	2073.50	16166	0	0
2014.12.23	2079.90	2091.60	2072.80	2082.80	12560	0	0
2014.12.24	2082.80	2086.80	2080.50	2081.90	2061	0	40
2014.12.26	2082.90	2092.50	2082.80	2088.00	1517	0	40
2014.12.29	2091.60	2096.00	2079.50	2092.30	11918	0	0
2014.12.30	2094.20	2095.70	2078.50	2082.30	11761	0	0
2014.12.31	2083.00	2089.80	2057.00	2058.30	9906	0	0
2015.01.02	2059.50	2074.20	2044.70	2056.80	22636	0	0
2015.01.05	2050.90	2054.90	2016.00	2024.50	14502	0	0
2015.01.06	2025.80	2030.60	1991.50	2001.70	16592	0	0
2015.01.07	2001.70	2030.00	2000.90	2027.00	12375	0	40
2015.01.08	2027.00	2065.30	2026.10	2059.80	10681	0	0
2015.01.09	2059.80	2068.30	2037.70	2045.00	11735	0	40
2015.01.12	2042.10	2054.50	2021.70	2030.30	18703	0	0
2015.01.13	2030.30	2058.30	2007.00	2024.50	13061	0	40
2015.01.14	2024.50	2025.50	1987.70	2016.70	20488	0	40
2015.01.15	2016.70	2033.50	1989.50	1989.90	25495	0	40
2015.01.16	1987.80	2020.50	1976.20	2018.00	37854	0	0
2015.01.19	2019.00	2030.00	2009.10	2015.00	17118	0	0
2015.01.20	2015.30	2032.50	2003.70	2021.70	30311	0	0
2015.01.21	2021.70	2038.80	2011.50	2032.70	13126	0	40
2015.01.22	2032.70	2064.80	2025.20	2063.50	14450	0	40
2015.01.23	2063.50	2068.30	2050.20	2051.40	10942	0	40
2015.01.26	2040.20	2061.00	2031.40	2060.50	25711	0	0
2015.01.27	2060.50	2060.70	2019.40	2043.70	11930	0	40
2015.01.28	2043.70	2052.30	1997.30	2000.30	16012	0	40
2015.01.29	2000.30	2026.20	1988.50	2025.20	16041	0	40
2015.01.30	2024.60	2026.70	1992.60	1995.50	44287	0	0
2015.02.02	1995.90	2025.00	1979.80	2022.00	50298	0	0
2015.02.03	2021.10	2050.10	2013.40	2047.50	39719	0	0
2015.02.04	2047.50	2054.80	2028.50	2030.50	14074	0	40
2015.02.05	2030.50	2063.70	2025.90	2061.70	12162	0	40
2015.02.06	2060.80	2072.60	2049.30	2055.30	31987	0	0
2015.02.09	2050.80	2056.30	2041.30	2047.50	33413	0	0
2015.02.10	2047.30	2071.00	2045.20	2067.70	29817	0	0
2015.02.11	2066.10	2083.40	2056.80	2078.10	28457	0	0
2015.02.12	2077.40	2089.10	2061.90	2086.60	30173	0	0
2015.02.13	2086.60	2097.10	2085.30	2096.90	6675	0	40
2015.02.16	2094.40	2097.10	2086.80	2090.10	6504	0	0
2015.02.17	2085.30	2101.60	2081.60	2100.60	19431	0	0
2015.02.18	2099.80	2101.40	2091.10	2098.50	16469	0	0
2015.02.19	2098.50	2102.40	2090.70	2099.20	5997	0	40
2015.02.20	2099.20	2111.40	2085.20	2110.40	8117	0	40
2015.02.23	2108.40	2110.80	2101.90	2109.60	14205	0	0
2015.02.24	2109.60	2118.30	2105.60	2116.60	5043	0	40
2015.02.25	2115.00	2119.80	2109.20	2113.10	12211	0	0
2015.02.26	2112.10	2117.10	2103.10	2112.00	13749	0	0
2015.02.27	2112.00	2112.80	2103.50	2104.00	4693	0	40
2015.03.02	2105.00	2117.30	2101.90	2116.30	10928	0	0
2015.03.03	2114.60	2116.50	2097.00	2106.80	13312	0	0
2015.03.04	2106.80	2106.80	2087.00	2097.70	5875	0	40
2015.03.05	2095.60	2105.00	2093.90	2101.20	14602	0	0
2015.03.06	2100.00	2104.50	2066.60	2071.00	20747	0	0
2015.03.09	2075.10	2083.60	2067.30	2079.00	5138	0	40
2015.03.10	2078.80	2079.00	2042.40	2044.70	8049	0	40
2015.03.11	2045.00	2053.00	2039.20	2041.70	7185	0	40
2015.03.12	2042.20	2066.60	2038.70	2064.30	5980	0	40
2015.03.13	2064.70	2068.80	2040.30	2052.10	9225	0	40
2015.03.16	2051.60	2081.50	2044.80	2074.50	9096	0	40
2015.03.17	2074.00	2078.80	2063.70	2074.50	6643	0	40
2015.03.18	2074.80	2108.00	2060.80	2100.50	9853	0	40
2015.03.19	2101.80	2107.50	2085.00	2088.30	7565	0	40
2015.03.20	2087.50	2114.50	2086.30	2106.80	5286	0	40
2015.03.23	2106.10	2115.00	2101.30	2102.30	5171	0	40
2015.03.24	2102.40	2108.80	2090.80	2092.80	6278	0	40
2015.03.25	2092.80	2097.10	2060.30	2063.80	7910	0	40
2015.03.26	2064.30	2067.30	2041.20	2058.10	11025	0	40
2015.03.27	2058.80	2065.80	2049.30	2060.30	8832	0	40
2015.03.30	2060.00	2089.60	2055.70	2082.30	17942	0	0
2015.03.31	2082.00	2084.40	2064.00	2066.50	19939	0	0
2015.04.01	2066.50	2068.30	2042.00	2062.00	12617	0	40
2015.04.02	2062.00	2072.50	2052.00	2068.50	7464	0	40
2015.04.03	2068.50	2071.50	2046.00	2047.70	1978	0	40
2015.04.06	2048.50	2087.80	2046.30	2080.30	12861	0	0
2015.04.07	2079.20	2090.50	2069.70	2076.00	16042	0	0
2015.04.08	2076.00	2087.50	2072.00	2083.50	7923	0	40
2015.04.09	2083.50	2094.00	2074.30	2092.30	6812	0	40
2015.04.10	2092.30	2102.80	2090.50	2102.30	4253	0	40
2015.04.13	2101.20	2108.00	2091.70	2093.30	15105	0	0
2015.04.14	2093.30	2099.30	2082.60	2097.80	6489	0	40
2015.04.15	2097.80	2112.10	2094.30	2107.60	5769	0	40
2015.04.16	2107.60	2111.30	2096.10	2107.30	5380	0	40
2015.04.17	2107.10	2108.50	2071.20	2081.00	26524	0	0
2015.04.20	2086.80	2104.80	2083.00	2097.30	16601	0	0
2015.04.21	2097.30	2111.80	2094.00	2098.00	6529	0	40
2015.04.22	2097.90	2110.30	2086.80	2105.80	24382	0	0
2015.04.23	2105.80	2120.60	2093.80	2113.60	7669	0	40
2015.04.24	2113.70	2121.30	2109.30	2117.80	19723	0	0
2015.04.27	2118.80	2126.20	2106.80	2109.80	18812	0	0
2015.04.28	2110.70	2119.00	2094.40	2118.10	24508	0	0
2015.04.29	2117.90	2119.00	2096.50	2104.30	32682	0	0
2015.04.30	2104.30	2108.00	2076.50	2088.60	36617	0	0
2015.05.01	2088.30	2108.70	2086.80	2107.70	12994	0	0
2015.05.04	2107.10	2121.20	2104.30	2115.70	17626	0	0
2015.05.05	2115.40	2117.80	2087.70	2091.60	28582	0	0
2015.05.06	2090.20	2099.20	2066.80	2080.50	29371	0	0
2015.05.07	2079.20	2093.20	2061.80	2088.70	29560	0	0
2015.05.08	2088.40	2118.20	2088.40	2115.50	19725	0	0
2015.05.11	2109.80	2117.80	2100.10	2101.30	16327	0	0
2015.05.12	2100.60	2105.30	2083.70	2100.20	29277	0	0
2015.05.13	2099.20	2110.60	2095.70	2100.50	22910	0	0
2015.05.14	2099.80	2122.00	2095.90	2121.30	15904	0	0
2015.05.15	2121.10	2126.50	2116.60	2122.60	16428	0	0
2015.05.18	2123.40	2132.40	2115.50	2130.00	15217	0	0
2015.05.19	2129.40	2137.20	2124.50	2127.20	14482	0	0
2015.05.20	2127.20	2135.30	2122.30	2124.50	17846	0	0
2015.05.21	2123.90	2134.70	2117.70	2131.30	12950	0	0
2015.05.22	2131.30	2133.60	2125.80	2126.80	4234	0	40
2015.05.25	2126.60	2129.70	2121.10	2125.10	2996	0	0
2015.05.26	2124.00	2127.20	2098.60	2107.90	17958	0	0
2015.05.27	2107.80	2126.80	2103.60	2122.20	15597	0	0
2015.05.28	2122.00	2124.60	2112.60	2124.40	17963	0	0
2015.05.29	2123.90	2124.80	2104.40	2107.70	20193	0	0
2015.06.01	2107.40	2119.60	2102.20	2112.70	22871	0	0
2015.06.02	2112.10	2117.70	2095.20	2108.70	28158	0	0
2015.06.03	2107.90	2122.20	2107.00	2117.30	24380	0	0
2015.06.04	2116.70	2117.90	2092.70	2100.40	33413	0	0
2015.06.05	2100.30	2104.10	2084.90	2093.20	30216	0	0
2015.06.08	2091.50	2094.90	2077.50	2081.20	24988	0	0
2015.06.09	2081.20	2085.80	2070.20	2082.10	9310	0	40
2015.06.10	2080.60	2108.80	2080.40	2107.80	21557	0	0
2015.06.11	2106.50	2115.40	2103.80	2110.30	21032	0	0
2015.06.12	2110.50	2110.80	2090.70	2094.00	25916	0	0
