<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.17	28350.65	28452.45	28272.03	28398.64	13627	0	900
2022.01.18	28444.77	28743.39	27949.23	28009.23	33807	0	900
2022.01.19	27832.13	27874.61	27298.60	27569.52	34704	0	900
2022.01.20	27710.73	27957.61	27206.04	27484.93	33360	0	900
2022.01.21	27203.23	27695.06	27127.35	27202.43	48598	0	900
2022.01.24	27366.79	27626.81	26701.68	27346.85	54090	0	900
2022.01.25	27221.02	27353.36	26848.29	27055.81	56480	0	900
2022.01.26	27049.54	27411.90	26786.73	26851.74	45248	0	900
2022.01.27	27009.42	27019.44	26037.23	26555.52	59539	0	900
2022.01.28	26415.89	26788.66	26233.20	26688.25	52464	0	900
2022.01.31	26803.30	27339.35	26788.08	27284.33	32520	0	900
2022.02.01	27304.81	27408.76	26975.09	27155.09	29070	0	900
2022.02.02	27469.12	27578.28	27325.63	27358.10	23226	0	900
2022.02.03	27248.35	27312.16	26942.29	27079.79	31181	0	900
2022.02.04	27305.67	27457.53	27068.95	27244.94	37762	0	900
2022.02.07	27173.67	27356.93	27098.76	27236.90	32980	0	900
2022.02.08	27383.88	27464.89	27196.75	27396.74	26547	0	900
2022.02.09	27433.23	27859.97	27400.81	27859.97	19500	0	900
2022.02.10	27833.00	27875.50	27349.00	27364.00	29343	0	900
2022.02.11	27235.50	27459.00	26854.00	26991.50	30034	0	900
2022.02.14	27095.50	27165.06	26845.00	27047.41	43636	0	900
2022.02.15	27061.14	27464.15	26714.03	27409.14	34071	0	900
2022.02.16	27381.01	27555.37	27262.75	27445.22	27328	0	900
2022.02.17	27365.15	27438.33	26867.43	26892.43	33762	0	900
2022.02.18	26868.27	27214.07	26775.74	26875.74	38341	0	900
2022.02.21	26585.20	27029.00	26552.89	26600.17	30645	0	900
2022.02.22	26487.25	26924.00	26240.50	26716.50	45276	0	900
2022.02.23	26778.00	26904.00	26289.00	26324.00	27213	0	900
