<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.02.06	4828.94	4842.37	4764.68	4775.68	20013	2872563	1
2017.02.07	4775.68	4788.37	4746.57	4762.57	17384	2445274	81
2017.02.08	4762.56	4790.91	4733.37	4774.69	21903	3125986	81
2017.02.09	4774.69	4832.20	4767.35	4825.96	19866	2764114	81
2017.02.10	4825.95	4847.44	4814.12	4834.30	19634	2700486	81
2017.02.13	4834.30	4906.70	4833.40	4884.74	13532	2184542	81
2017.02.14	4884.73	4911.54	4876.96	4907.54	15384	2195504	81
2017.02.15	4907.54	4935.11	4901.59	4932.61	13482	1616106	81
2017.02.16	4932.61	4932.61	4889.18	4902.62	14008	1657502	81
2017.02.17	4902.61	4902.61	4842.28	4878.38	21759	3180600	81
2017.02.20	4878.38	4904.94	4855.27	4863.95	12101	1629706	81
2017.02.21	4863.94	4900.73	4848.62	4898.98	17331	2395692	81
2017.02.22	4898.98	4922.50	4865.65	4902.77	17976	2399178	80
2017.02.23	4902.77	4916.44	4879.48	4896.19	16453	2198612	80
2017.02.24	4888.85	4890.60	4805.66	4863.23	20341	2903158	80
2017.02.27	4863.22	4869.57	4832.69	4862.16	17238	2251086	80
2017.02.28	4862.06	4866.95	4835.53	4859.19	14411	2115420	80
2017.03.01	4859.19	4974.20	4859.19	4956.95	17686	2805574	80
2017.03.02	4961.92	4973.04	4954.45	4962.58	14068	1989548	80
2017.03.03	4962.58	5010.98	4946.26	4998.97	17685	2430164	80
2017.03.06	4998.98	4998.98	4960.07	4987.49	12836	1744900	80
2017.03.07	4987.50	4990.49	4940.48	4952.93	11709	1687306	80
2017.03.08	4952.93	4976.02	4931.55	4949.63	16100	2162820	80
2017.03.09	4949.64	4988.83	4938.95	4986.80	19238	2554222	80
2017.03.10	4986.81	5021.67	4981.19	4996.19	18963	2516060	80
2017.03.13	4996.19	5012.73	4985.30	5009.52	11802	1697304	80
2017.03.14	5012.30	5013.30	4957.52	4976.07	13970	2195640	80
2017.03.15	4981.28	5006.37	4965.55	5003.87	13379	1529456	80
2017.03.16	5017.83	5035.41	5003.59	5017.25	12770	1391184	80
2017.03.17	5012.52	5039.17	5000.07	5029.04	15193	2359110	80
2017.03.20	5029.69	5029.83	5002.27	5008.40	12297	2000879	0
2017.03.21	5018.12	5055.65	4979.18	4987.19	23046	3231812	80
2017.03.22	4972.96	5006.38	4951.96	4998.88	22536	2866750	80
2017.03.23	5003.85	5033.35	4979.72	5019.54	20196	2595576	80
2017.03.24	5027.35	5031.15	5003.37	5022.22	20772	2766036	80
2017.03.27	5023.12	5028.00	4969.45	5023.01	19922	2835127	0
2017.03.28	5023.01	5065.59	5008.05	5062.34	14725	2107868	80
