<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.08.27	13242.68	13245.54	13020.61	13082.76	70121	0	70
2020.08.28	13086.04	13190.50	12948.06	13064.73	63715	0	70
2020.08.31	13083.67	13155.00	12903.58	12933.26	59523	0	70
2020.09.01	12936.67	13128.77	12848.52	13005.75	69546	0	70
2020.09.02	13005.74	13354.20	12989.09	13347.89	72780	0	70
2020.09.03	13347.88	13461.62	12933.47	13028.50	98055	0	70
2020.09.04	12994.00	13128.30	12747.39	12965.00	106673	0	70
2020.09.07	12898.35	13137.54	12816.39	13123.53	62241	0	70
2020.09.08	13103.65	13158.99	12855.69	12918.28	117046	0	70
2020.09.09	12834.99	13316.05	12782.37	13251.04	84174	0	70
2020.09.10	13252.98	13308.99	13094.50	13115.89	94818	0	70
2020.09.11	13132.56	13256.95	13112.05	13182.78	75017	0	70
2020.09.14	13216.02	13340.02	13143.81	13154.10	64472	0	70
2020.09.15	13163.00	13263.05	13134.35	13227.37	53659	0	70
2020.09.16	13230.30	13277.96	13170.35	13212.93	55097	0	70
2020.09.17	13213.90	13249.97	13030.83	13226.70	67967	0	80
2020.09.18	13214.31	13265.18	13053.67	13118.24	74149	0	70
2020.09.21	13083.66	13167.53	12502.15	12657.21	98309	0	70
2020.09.22	12639.06	12701.06	12560.80	12680.11	75499	0	70
2020.09.23	12683.54	12831.42	12527.93	12555.05	79020	0	70
2020.09.24	12538.38	12694.17	12455.86	12643.64	93075	0	70
2020.09.25	12650.18	12711.02	12339.17	12575.97	81621	0	70
2020.09.28	12593.20	12898.32	12561.00	12883.88	71239	0	70
2020.09.29	12886.32	12946.10	12735.89	12834.55	66575	0	70
2020.09.30	12829.72	12897.40	12684.93	12703.19	85181	0	70
2020.10.01	12728.87	12858.42	12669.06	12713.23	82942	0	70
2020.10.02	12734.80	12740.40	12539.28	12702.96	92697	0	70
2020.10.05	12760.21	12888.15	12726.43	12866.47	57491	0	70
2020.10.06	12864.56	12966.53	12748.03	12761.83	72668	0	70
2020.10.07	12783.90	12963.44	12755.77	12943.70	62853	0	70
2020.10.08	12937.99	13103.36	12934.50	13084.15	55983	0	70
2020.10.09	13087.94	13115.17	13009.00	13057.95	49087	0	70
2020.10.12	13057.70	13185.76	13031.83	13172.15	56036	0	70
2020.10.13	13174.94	13184.27	12957.64	12990.66	66827	0	70
